metric,value
elapsed_secs,20.886
eps_in_avg,8994.59
eps_out_avg,16.7576
selectivity_e2e,0.00186308
pipe_2_in_delta,187861
pipe_2_out_delta,27184
pipe_2_selectivity,0.144702732339336
pipe_3_in_delta,27184
pipe_3_out_delta,2256
pipe_3_selectivity,0.08298999411418481
pipe_4_in_delta,2256
pipe_4_out_delta,350
pipe_4_selectivity,0.1551418439716312
pipe_5_in_delta,350
pipe_5_out_delta,350
pipe_5_selectivity,1
latency_p50_ms,3
pipe_1_out_total,187861
latency_p99_ms,5
pipe_2_out_total,27184
pipe_4_out_total,350
latency_p95_ms,5
source_in_total,187861
pipe_2_ts_present_in,3900
pipe_2_in_total,187861
pipe_2_ts_missing_in,3898
pipe_3_in_total,27184
pipe_3_out_total,2256
pipe_4_ts_missing_in,350
pipe_3_ts_present_in,4019
pipe_4_in_total,2256
pipe_5_ts_present_in,350
pipe_5_in_total,350
pipe_5_out_total,350
sink_out_total,350
latency_count,350
latency_sum_ms,834
