metric,value
elapsed_secs,19.293
eps_in_avg,7640.75
eps_out_avg,176.593
selectivity_e2e,0.0231119
pipe_8_in_delta,305269
pipe_8_out_delta,3407
pipe_8_selectivity,0.01116064847724466
pipe_2_in_delta,0
pipe_2_out_delta,0
pipe_2_selectivity,0
pipe_3_in_delta,0
pipe_3_out_delta,0
pipe_3_selectivity,0
pipe_4_in_delta,0
pipe_4_out_delta,0
pipe_4_selectivity,0
pipe_9_in_delta,3407
pipe_9_out_delta,3407
pipe_9_selectivity,1
pipe_10_in_delta,3407
pipe_10_out_delta,3407
pipe_10_selectivity,1
pipe_7_in_delta,147413
pipe_7_out_delta,305269
pipe_7_selectivity,2.070841784645859
pipe_11_in_delta,3407
pipe_11_out_delta,3407
pipe_11_selectivity,1
latency_p50_ms,3
latency_p95_ms,5
pipe_8_in_total,305269
pipe_2_ts_present_in,2379
pipe_9_out_total,3407
pipe_2_in_total,114681
pipe_10_out_total,3407
pipe_2_out_total,215
pipe_4_out_total,108
source_in_total,262094
pipe_3_in_total,215
pipe_2_ts_missing_in,2378
pipe_3_out_total,108
pipe_6_out_total,147413
pipe_11_out_total,3407
pipe_7_out_total,305269
pipe_1_out_total,114681
pipe_4_in_total,108
pipe_7_ts_missing_in,3059
sink_out_total,3515
pipe_3_ts_missing_in,108
latency_p99_ms,9
latency_count,3515
latency_sum_ms,14291
pipe_4_ts_present_in,108
pipe_7_ts_present_in,3059
pipe_9_ts_present_in,3407
pipe_9_in_total,3407
pipe_10_in_total,3407
pipe_8_ts_missing_in,3407
pipe_8_out_total,3407
pipe_7_in_total,147413
pipe_10_ts_present_in,3407
pipe_11_ts_present_in,3407
pipe_11_in_total,3407
