metric,value
elapsed_secs,16.712
eps_in_avg,6581.32
eps_out_avg,6.1034
selectivity_e2e,0.000927382
pipe_2_in_delta,109974
pipe_2_out_delta,204
pipe_2_selectivity,0.001854983905286704
pipe_3_in_delta,204
pipe_3_out_delta,102
pipe_3_selectivity,0.5
pipe_4_in_delta,102
pipe_4_out_delta,102
pipe_4_selectivity,1
latency_p50_ms,5
latency_p95_ms,9
source_in_total,109987
pipe_2_ts_present_in,2281
pipe_2_in_total,109974
latency_p99_ms,9
pipe_2_out_total,204
pipe_4_out_total,102
pipe_3_ts_missing_in,102
pipe_3_in_total,204
pipe_2_ts_missing_in,2280
pipe_3_out_total,102
pipe_4_ts_present_in,102
pipe_1_out_total,109987
pipe_4_in_total,102
sink_out_total,102
latency_count,102
latency_sum_ms,671
